# landmark_tcn training start  epochs=80 batch=64
[landmark_tcn] epoch 001/80  train_loss=3.8996 train_acc=0.000  val_loss=3.7485 val_acc=0.028
[landmark_tcn] epoch 002/80  train_loss=3.7323 train_acc=0.035  val_loss=3.7538 val_acc=0.028
[landmark_tcn] epoch 003/80  train_loss=3.7203 train_acc=0.019  val_loss=3.7594 val_acc=0.037
[landmark_tcn] epoch 004/80  train_loss=3.6990 train_acc=0.021  val_loss=3.7549 val_acc=0.028
[landmark_tcn] epoch 005/80  train_loss=3.6843 train_acc=0.014  val_loss=3.7388 val_acc=0.028
[landmark_tcn] epoch 006/80  train_loss=3.6830 train_acc=0.016  val_loss=3.6978 val_acc=0.028
[landmark_tcn] epoch 007/80  train_loss=3.6780 train_acc=0.023  val_loss=3.6818 val_acc=0.037
[landmark_tcn] epoch 008/80  train_loss=3.6755 train_acc=0.023  val_loss=3.7165 val_acc=0.028
[landmark_tcn] epoch 009/80  train_loss=3.6652 train_acc=0.028  val_loss=3.6999 val_acc=0.028
[landmark_tcn] epoch 010/80  train_loss=3.6576 train_acc=0.028  val_loss=3.6691 val_acc=0.037
[landmark_tcn] epoch 011/80  train_loss=3.6446 train_acc=0.040  val_loss=3.6971 val_acc=0.056
[landmark_tcn] epoch 012/80  train_loss=3.6234 train_acc=0.051  val_loss=3.6319 val_acc=0.019
[landmark_tcn] epoch 013/80  train_loss=3.5786 train_acc=0.044  val_loss=3.5508 val_acc=0.047
[landmark_tcn] epoch 014/80  train_loss=3.5001 train_acc=0.040  val_loss=3.5294 val_acc=0.037
[landmark_tcn] epoch 015/80  train_loss=3.3983 train_acc=0.093  val_loss=3.3457 val_acc=0.112
[landmark_tcn] epoch 016/80  train_loss=3.2923 train_acc=0.086  val_loss=3.4194 val_acc=0.093
[landmark_tcn] epoch 017/80  train_loss=3.2581 train_acc=0.142  val_loss=3.3693 val_acc=0.037
[landmark_tcn] epoch 018/80  train_loss=3.1613 train_acc=0.091  val_loss=3.1793 val_acc=0.121
[landmark_tcn] epoch 019/80  train_loss=3.0450 train_acc=0.145  val_loss=3.1465 val_acc=0.121
[landmark_tcn] epoch 020/80  train_loss=2.9990 train_acc=0.191  val_loss=3.2498 val_acc=0.121
[landmark_tcn] epoch 021/80  train_loss=2.9479 train_acc=0.175  val_loss=3.2016 val_acc=0.131
[landmark_tcn] epoch 022/80  train_loss=2.8333 train_acc=0.179  val_loss=3.1234 val_acc=0.150
[landmark_tcn] epoch 023/80  train_loss=2.7916 train_acc=0.205  val_loss=3.0796 val_acc=0.168
[landmark_tcn] epoch 024/80  train_loss=2.6586 train_acc=0.207  val_loss=3.1076 val_acc=0.168
[landmark_tcn] epoch 025/80  train_loss=2.5503 train_acc=0.217  val_loss=3.1068 val_acc=0.159
[landmark_tcn] epoch 026/80  train_loss=2.4623 train_acc=0.252  val_loss=3.0032 val_acc=0.234
[landmark_tcn] epoch 027/80  train_loss=2.4143 train_acc=0.282  val_loss=2.9847 val_acc=0.206
[landmark_tcn] epoch 028/80  train_loss=2.3227 train_acc=0.238  val_loss=2.9045 val_acc=0.206
[landmark_tcn] epoch 029/80  train_loss=2.2452 train_acc=0.298  val_loss=2.8682 val_acc=0.196
[landmark_tcn] epoch 030/80  train_loss=2.1916 train_acc=0.303  val_loss=3.1406 val_acc=0.187
[landmark_tcn] epoch 031/80  train_loss=2.1416 train_acc=0.296  val_loss=2.8793 val_acc=0.234
[landmark_tcn] epoch 032/80  train_loss=2.0512 train_acc=0.340  val_loss=2.9968 val_acc=0.243
[landmark_tcn] epoch 033/80  train_loss=2.0012 train_acc=0.345  val_loss=2.8164 val_acc=0.327
[landmark_tcn] epoch 034/80  train_loss=2.0158 train_acc=0.329  val_loss=2.9290 val_acc=0.280
[landmark_tcn] epoch 035/80  train_loss=1.9559 train_acc=0.364  val_loss=2.9418 val_acc=0.271
[landmark_tcn] epoch 036/80  train_loss=1.9069 train_acc=0.399  val_loss=2.8844 val_acc=0.327
[landmark_tcn] epoch 037/80  train_loss=1.8244 train_acc=0.422  val_loss=2.8477 val_acc=0.336
[landmark_tcn] epoch 038/80  train_loss=1.8056 train_acc=0.387  val_loss=2.8748 val_acc=0.346
[landmark_tcn] epoch 039/80  train_loss=1.7413 train_acc=0.401  val_loss=2.9110 val_acc=0.346
[landmark_tcn] epoch 040/80  train_loss=1.6635 train_acc=0.417  val_loss=2.8131 val_acc=0.327
[landmark_tcn] epoch 041/80  train_loss=1.6647 train_acc=0.434  val_loss=2.7964 val_acc=0.364
[landmark_tcn] epoch 042/80  train_loss=1.6021 train_acc=0.459  val_loss=2.8954 val_acc=0.355
[landmark_tcn] epoch 043/80  train_loss=1.6077 train_acc=0.450  val_loss=2.7376 val_acc=0.336
[landmark_tcn] epoch 044/80  train_loss=1.5392 train_acc=0.459  val_loss=2.9120 val_acc=0.364
[landmark_tcn] epoch 045/80  train_loss=1.4987 train_acc=0.462  val_loss=2.8437 val_acc=0.364
[landmark_tcn] epoch 046/80  train_loss=1.4264 train_acc=0.503  val_loss=2.8090 val_acc=0.383
[landmark_tcn] epoch 047/80  train_loss=1.4249 train_acc=0.520  val_loss=2.8564 val_acc=0.364
[landmark_tcn] epoch 048/80  train_loss=1.4393 train_acc=0.520  val_loss=2.7497 val_acc=0.355
[landmark_tcn] epoch 049/80  train_loss=1.3826 train_acc=0.520  val_loss=2.7950 val_acc=0.430
[landmark_tcn] epoch 050/80  train_loss=1.3654 train_acc=0.550  val_loss=2.7788 val_acc=0.374
[landmark_tcn] epoch 051/80  train_loss=1.3437 train_acc=0.534  val_loss=2.7090 val_acc=0.411
[landmark_tcn] epoch 052/80  train_loss=1.2848 train_acc=0.576  val_loss=2.7029 val_acc=0.411
[landmark_tcn] epoch 053/80  train_loss=1.3119 train_acc=0.562  val_loss=2.6823 val_acc=0.393
[landmark_tcn] epoch 054/80  train_loss=1.2645 train_acc=0.583  val_loss=2.7028 val_acc=0.439
[landmark_tcn] epoch 055/80  train_loss=1.2465 train_acc=0.566  val_loss=2.6726 val_acc=0.383
[landmark_tcn] epoch 056/80  train_loss=1.2432 train_acc=0.564  val_loss=2.7219 val_acc=0.449
[landmark_tcn] epoch 057/80  train_loss=1.2349 train_acc=0.587  val_loss=2.7427 val_acc=0.430
[landmark_tcn] epoch 058/80  train_loss=1.2244 train_acc=0.569  val_loss=2.6947 val_acc=0.430
[landmark_tcn] epoch 059/80  train_loss=1.1731 train_acc=0.569  val_loss=2.7070 val_acc=0.411
[landmark_tcn] epoch 060/80  train_loss=1.1954 train_acc=0.611  val_loss=2.6844 val_acc=0.439
[landmark_tcn] epoch 061/80  train_loss=1.1806 train_acc=0.592  val_loss=2.7351 val_acc=0.430
[landmark_tcn] epoch 062/80  train_loss=1.1412 train_acc=0.620  val_loss=2.6896 val_acc=0.439
[landmark_tcn] epoch 063/80  train_loss=1.1438 train_acc=0.618  val_loss=2.6800 val_acc=0.439
[landmark_tcn] epoch 064/80  train_loss=1.1284 train_acc=0.611  val_loss=2.6948 val_acc=0.458
[landmark_tcn] epoch 065/80  train_loss=1.1444 train_acc=0.620  val_loss=2.6675 val_acc=0.467
[landmark_tcn] epoch 066/80  train_loss=1.1063 train_acc=0.634  val_loss=2.6714 val_acc=0.458
[landmark_tcn] epoch 067/80  train_loss=1.1209 train_acc=0.615  val_loss=2.6931 val_acc=0.467
[landmark_tcn] epoch 068/80  train_loss=1.0754 train_acc=0.627  val_loss=2.6953 val_acc=0.486
[landmark_tcn] epoch 069/80  train_loss=1.0760 train_acc=0.625  val_loss=2.7057 val_acc=0.477
[landmark_tcn] epoch 070/80  train_loss=1.0914 train_acc=0.662  val_loss=2.6875 val_acc=0.467
[landmark_tcn] epoch 071/80  train_loss=1.0856 train_acc=0.639  val_loss=2.6772 val_acc=0.467
[landmark_tcn] epoch 072/80  train_loss=1.0992 train_acc=0.634  val_loss=2.6988 val_acc=0.467
[landmark_tcn] epoch 073/80  train_loss=1.0839 train_acc=0.657  val_loss=2.6937 val_acc=0.477
[landmark_tcn] epoch 074/80  train_loss=1.0731 train_acc=0.641  val_loss=2.6823 val_acc=0.458
[landmark_tcn] epoch 075/80  train_loss=1.0843 train_acc=0.625  val_loss=2.6921 val_acc=0.467
[landmark_tcn] epoch 076/80  train_loss=1.0456 train_acc=0.634  val_loss=2.6958 val_acc=0.467
[landmark_tcn] epoch 077/80  train_loss=1.0586 train_acc=0.641  val_loss=2.6929 val_acc=0.477
[landmark_tcn] epoch 078/80  train_loss=1.0652 train_acc=0.646  val_loss=2.6925 val_acc=0.467
[landmark_tcn] epoch 079/80  train_loss=1.0928 train_acc=0.643  val_loss=2.6930 val_acc=0.467
[landmark_tcn] epoch 080/80  train_loss=1.0707 train_acc=0.662  val_loss=2.6930 val_acc=0.467
[landmark_tcn] TEST acc=0.390 loss=2.6300 n=105 best_val=0.486
# landmark_tcn training start  epochs=200 batch=64
[landmark_tcn] epoch 001/200  train_loss=3.8995 train_acc=0.000  val_loss=3.7489 val_acc=0.028
[landmark_tcn] epoch 002/200  train_loss=3.7324 train_acc=0.035  val_loss=3.7538 val_acc=0.028
[landmark_tcn] epoch 003/200  train_loss=3.7203 train_acc=0.019  val_loss=3.7596 val_acc=0.037
[landmark_tcn] epoch 004/200  train_loss=3.6991 train_acc=0.021  val_loss=3.7549 val_acc=0.028
[landmark_tcn] epoch 005/200  train_loss=3.6844 train_acc=0.014  val_loss=3.7391 val_acc=0.028
[landmark_tcn] epoch 006/200  train_loss=3.6831 train_acc=0.019  val_loss=3.6977 val_acc=0.028
[landmark_tcn] epoch 007/200  train_loss=3.6783 train_acc=0.021  val_loss=3.6812 val_acc=0.037
[landmark_tcn] epoch 008/200  train_loss=3.6760 train_acc=0.023  val_loss=3.7173 val_acc=0.028
[landmark_tcn] epoch 009/200  train_loss=3.6657 train_acc=0.026  val_loss=3.6998 val_acc=0.028
[landmark_tcn] epoch 010/200  train_loss=3.6577 train_acc=0.028  val_loss=3.6683 val_acc=0.019
[landmark_tcn] epoch 011/200  train_loss=3.6452 train_acc=0.040  val_loss=3.6968 val_acc=0.056
[landmark_tcn] epoch 012/200  train_loss=3.6222 train_acc=0.049  val_loss=3.6352 val_acc=0.028
[landmark_tcn] epoch 013/200  train_loss=3.5782 train_acc=0.051  val_loss=3.5425 val_acc=0.047
[landmark_tcn] epoch 014/200  train_loss=3.4911 train_acc=0.037  val_loss=3.5294 val_acc=0.047
[landmark_tcn] epoch 015/200  train_loss=3.3894 train_acc=0.086  val_loss=3.3310 val_acc=0.103
[landmark_tcn] epoch 016/200  train_loss=3.2752 train_acc=0.086  val_loss=3.4421 val_acc=0.112
[landmark_tcn] epoch 017/200  train_loss=3.2488 train_acc=0.142  val_loss=3.3299 val_acc=0.037
[landmark_tcn] epoch 018/200  train_loss=3.1628 train_acc=0.105  val_loss=3.1755 val_acc=0.131
[landmark_tcn] epoch 019/200  train_loss=3.0250 train_acc=0.145  val_loss=3.1709 val_acc=0.121
[landmark_tcn] epoch 020/200  train_loss=2.9959 train_acc=0.149  val_loss=3.1253 val_acc=0.140
[landmark_tcn] epoch 021/200  train_loss=2.8865 train_acc=0.166  val_loss=3.0978 val_acc=0.150
[landmark_tcn] epoch 022/200  train_loss=2.7853 train_acc=0.163  val_loss=3.0930 val_acc=0.178
[landmark_tcn] epoch 023/200  train_loss=2.7848 train_acc=0.210  val_loss=3.0364 val_acc=0.215
